Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Forteza (Cortes),Dominican Republic,1776,2016,70%,Puerto Rico,2.75,N/A,Domincan Republic
Forteza (Cortes),Puerto Rico,1776,2016,80%,Puerto Rico,2.75,N/A,Domincan Republic
Fossa,"Akesson's E., Sambirano V.",1772,2016,70%,Singapore,2.75,N/A,Madagascar
Fossa,"Camino Verde P., Balao, Guayas",1776,2016,75%,Singapore,3.5,N/A,Ecuador
Franceschi,Choroni,1355,2014,70%,Venezuela,3.5,N/A,Venezuela
Franceschi,Ocumare,1355,2014,70%,Venezuela,3.75,N/A,Venezuela
Franceschi,Canoabo,911,2012,70%,Venezuela,3.75,N/A,Venezuela
Franceschi,Sur del Lago,915,2012,60%,Venezuela,3.5,N/A,Venezuela
Frederic Blondeel,Costa Rica,1538,2015,70%,Belgium,3.5,N/A,Costa Rica
Frederic Blondeel,Peru Brutus,1538,2015,75%,Belgium,3.5,N/A,Peru
French Broad,"Norandino, batch 161208",1940,2017,70%,U.S.A.,3.5,N/A,Peru
French Broad,Guatemala,1634,2015,73%,U.S.A.,3.5,N/A,Guatemala
French Broad,San Andres,1209,2014,80%,U.S.A.,3,N/A,Costa Rica
French Broad,Matagalpa,1295,2014,68%,U.S.A.,3.25,N/A,Nicaragua
French Broad,"Palo Blanco, Chulucanas",1042,2013,66%,U.S.A.,3.5,N/A,Peru
French Broad,"Palo Blanco, Chulucanas",883,2012,61%,U.S.A.,3.5,N/A,Peru
French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,81%,U.S.A.,2,N/A,Peru
French Broad,La Red,785,2011,65%,U.S.A.,3.5,N/A,Dominican Republic
Fresco,"Conacado, #223, MR, SC",1030,2013,72%,U.S.A.,3.25,N/A,Dominican Republic
Fresco,"Conacado, #224, MR, MC",1081,2013,72%,U.S.A.,3.75,N/A,Dominican Republic
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70%,U.S.A.,3.75,N/A,Peru
Fresco,"Markham Valley, #219, LR, MC",899,2012,69%,U.S.A.,3.5,N/A,Papua New Guinea
Fresco,"Markham Valley, #221, DR, MC",899,2012,69%,U.S.A.,3.5,N/A,Papua New Guinea
Fresco,"Conacado, #212, LR, SC",642,2011,72%,U.S.A.,3.5,N/A,Dominican Republic
Fresco,"Conacado, #213, DR, -C",682,2011,72%,U.S.A.,3.25,N/A,Dominican Republic
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70%,Denmark,3.5,N/A,Nicaragua
Friis Holm (Bonnat),La Dalia,1680,2015,60%,Denmark,3,N/A,Nicaragua
Friis Holm (Bonnat),La Dalia,1680,2015,85%,Denmark,3.25,N/A,Nicaragua
Friis Holm (Bonnat),La Dalia,1259,2014,70%,Denmark,3.5,N/A,Nicaragua
Friis Holm (Bonnat),"Barba, Xoco",1034,2013,70%,Denmark,3.25,N/A,Nicaragua
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70%,Denmark,3.5,N/A,Nicaragua
Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,70%,Denmark,3.75,N/A,Nicaragua
Fruition,La Red,1046,2013,70%,U.S.A.,3.75,N/A,Dominican Republic
Fruition,Camino Verde,1185,2013,75%,U.S.A.,3,N/A,Ecuador
Fruition,Peru,863,2012,70%,U.S.A.,2.5,N/A,Peru
Fruition,Costa Rica,781,2011,70%,U.S.A.,3,N/A,Costa Rica
Glennmade,"Toledo District, 2015 Harvest",1848,2016,70%,U.S.A.,3.5,N/A,Belize
Goodnow Farms,"Almendra Blanca, batch 1004",1924,2016,77%,U.S.A.,2.75,N/A,Mexico
Goodnow Farms,"El Carmen, batch 1003",1924,2016,77%,U.S.A.,3.25,N/A,Nicaragua
Goodnow Farms,"Asochivite, batch 1005",1924,2016,77%,U.S.A.,3.25,N/A,Guatemala
Green & Black's (ICAM),Dark,15,2006,70%,U.K.,2.5,N/A, 
Green Bean to Bar,Madagascar,1896,2016,70%,Japan,3.5,N/A,Madagascar
Guido Castagna,Trinidad & Tobago,355,2009,64%,Italy,3,N/A,"Trinidad, Tobago"
Guido Castagna,Lacri Blend,355,2009,76%,Italy,3,N/A,Venezuela
Guido Castagna,Blend,355,2009,64%,Italy,3.25,N/A,"Ven, Trinidad, Ecuador"
Guittard,"Epique, Blend No. 49",1602,2015,70%,U.S.A.,3.75,N/A, 
Guittard,Haiti,1053,2013,65%,U.S.A.,2.75,N/A,Haiti
Guittard,Nicaragua,1053,2013,65%,U.S.A.,2.75,N/A,Nicaragua
Guittard,Ecuador,1053,2013,65%,U.S.A.,3.5,N/A,Ecuador
Guittard,Coucher du Soleil,654,2011,72%,U.S.A.,2.75,N/A, 
Guittard,Lever du Soleil,654,2011,61%,U.S.A.,3.25,N/A, 
Guittard,Onyx,654,2011,72%,U.S.A.,3.25,N/A, 
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",316,2009,55%,U.S.A.,3,N/A,Hawaii
Guittard,Nocturne,387,2009,91%,U.S.A.,3,N/A, 
Guittard,Machu Pichu,259,2008,65%,U.S.A.,3,N/A,Peru
Guittard,Special Maker Reserve,276,2008,64%,U.S.A.,3,N/A, 
Guittard,Ocumare,276,2008,65%,U.S.A.,3.5,N/A,Venezuela
Habitual,Papua New Guinea,1197,2014,80%,Canada,2.75,N/A,Papua New Guinea
Habitual,Campesino w/ nibs,1197,2014,74%,Canada,2.75,N/A, 
Habitual,Dominican Republic,1197,2014,75%,Canada,3.25,N/A,Dominican Republic
Habitual,Downtown London,1201,2014,65%,Canada,2.75,N/A, 
Habitual,Africa meets Latina,1201,2014,70%,Canada,3,N/A, 
Habitual,Amazonas,1201,2014,80%,Canada,3,N/A, 
Habitual,Sharkey,1201,2014,66%,Canada,3.25,N/A,Hawaii
Habitual,one hundred,1205,2014,100%,Canada,2,N/A, 
Haigh,South America and Africa,701,2011,70%,Australia,3,N/A,"South America, Africa"
Harper Macaw,"Vale do Juliana, w/ nibs",1808,2016,85%,U.S.A.,3.25,N/A,Brazil
Harper Macaw,Brazil Blend,1696,2015,67%,U.S.A.,3,N/A,Brazil
Harper Macaw,"Tome Acu E., Amazon Rainforest",1700,2015,77%,U.S.A.,3.5,N/A,Brazil
Harper Macaw,"Vale do Juliana E., Atlantic Forest",1700,2015,74%,U.S.A.,3.5,N/A,Brazil
Heilemann,Peru,1876,2016,64%,Germany,2.75,N/A,Peru
Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",1243,2014,67%,U.S.A.,3.75,N/A,Hawaii
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",1744,2016,72%,U.S.A.,3.5,N/A,Hawaii
hexx,Tanzania,1546,2015,70%,U.S.A.,2.75,N/A,Tanzania
hexx,Venezuela,1546,2015,70%,U.S.A.,3,N/A,Venezuela
hexx,Ecuador,1550,2015,73%,U.S.A.,3.25,N/A,Ecuador
hexx,Peru,1550,2015,70%,U.S.A.,3.25,N/A,Peru
Holy Cacao,Maranon,1872,2016,70%,Israel,2.75,N/A,Peru
Holy Cacao,"Camino Verde P., Balao, Guayas",1466,2015,70%,Israel,3.5,N/A,Ecuador
Holy Cacao,Mara,1466,2015,70%,Israel,3.5,N/A,Venezuela
Holy Cacao,Ivory Coast,431,2009,70%,Israel,2.5,N/A,Ivory Coast
Holy Cacao,Hispaniola,431,2009,70%,Israel,2.75,N/A,Dominican Republic
Holy Cacao,San Martin,431,2009,70%,Israel,3.5,N/A,Peru
Holy Cacao,Hispaniola w/ nibs,431,2009,75%,Israel,3.75,N/A,Dominican Republic
Honest,"Ecuador, w/ nibs",1327,2014,72%,South Africa,2.5,N/A,Ecuador
Hotel Chocolat,"Pepiniere, single Cote",1654,2015,70%,U.K.,2.75,N/A,St. Lucia
Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",1109,2013,100%,U.K.,2.75,N/A,Peru
Hotel Chocolat (Coppeneur),"Conacado, 2012, 120hr c.",1113,2013,100%,U.K.,2.75,N/A,Dominican Republic
Hotel Chocolat (Coppeneur),Ecuador,552,2010,70%,U.K.,2.75,N/A,Ecuador
Hotel Chocolat (Coppeneur),Santo Domingo,552,2010,70%,U.K.,3,N/A,Dominican Republic
Hotel Chocolat (Coppeneur),St. Lucia,245,2008,72%,U.K.,3,N/A,St. Lucia
Hotel Chocolat (Coppeneur),Tanzania,296,2008,75%,U.K.,2.75,N/A,Tanzania
Hummingbird,Zorzal Reserva w/ Charles Kerchner,1387,2014,70%,Canada,3.5,N/A,Dominican Republic
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",725,2011,72%,Switzerland,3.75,N/A,Venezuela
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",737,2011,72%,Switzerland,4,N/A,Venezuela
Indah,India (south),1788,2016,61%,India,2.5,N/A,India
Indaphoria,La Red,821,2012,70%,U.S.A.,3.25,N/A,Dominican Republic
Indaphoria,"Conacado, Manifesto",907,2012,70%,U.S.A.,2.75,N/A,Dominican Republic
Indi,Honduras,1255,2014,77%,U.S.A.,3,N/A,Honduras
iQ Chocolate,black label,943,2012,72%,Scotland,3,N/A,Peru
Isidro,Peru,1279,2014,72%,U.S.A.,2.25,N/A,Peru
Isidro,Dominican Republic,1279,2014,72%,U.S.A.,3.25,N/A,Dominican Republic
Izard,"Elvesia P., Batch 32",1546,2015,70%,U.S.A.,2.75,N/A,Dominican Republic
Just Good Chocolate,Peru,1375,2014,70%,U.S.A.,4,N/A,Peru
Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",1061,2013,70%,Domincan Republic,3.5,N/A,Dominican Republic
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,82%,Domincan Republic,3,N/A,Dominican Republic
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,55%,Domincan Republic,3.25,N/A,Dominican Republic
Kah Kow,"Rizek Cacao, Domin. Rep.",1073,2013,62%,Domincan Republic,3.25,N/A,Dominican Republic
Kakao,Peru,837,2012,64%,Germany,2.5,N/A,Peru
Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,241,2008,70%,Ecuador,3,N/A,Ecuador
Kallari (Ecuatoriana),Sisa's Secret/ original micro,241,2008,70%,Ecuador,3.5,N/A,Ecuador
Kallari (Ecuatoriana),Roberto,245,2008,75%,Ecuador,2.75,N/A,Ecuador
Kallari (Ecuatoriana),Diego/ original micro,248,2008,85%,Ecuador,2.5,N/A,Ecuador
Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype,248,2008,85%,Ecuador,2.75,N/A,Ecuador
Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype,248,2008,85%,Ecuador,3,N/A,Ecuador
Kallari (Ecuatoriana),Cacao Nacional W.F.,263,2008,75%,Ecuador,2.5,N/A,Ecuador
Kallari (Ecuatoriana),Cacao Nacional W.F.,269,2008,85%,Ecuador,3,N/A,Ecuador
Kaoka (Cemoi),Noir,404,2009,70%,France,2.75,N/A, 
Kaoka (Cemoi),Ecuador,423,2009,80%,France,2.75,N/A,Ecuador
Kerchner,"La Red, Project Reserva, Guaconejo",1133,2013,70%,U.S.A.,3.75,N/A,Dominican Republic
Ki' Xocolatl,Dark,431,2009,72%,Mexico,2,N/A,Mexico
Kto,San Martin,1422,2014,72%,U.S.A.,2.5,N/A,Peru
Kto,Ocumare,1422,2014,72%,U.S.A.,2.75,N/A,Venezuela
Kto,Elvesia,1426,2014,72%,U.S.A.,3.25,N/A,Dominican Republic
Kto,ROIG,1426,2014,72%,U.S.A.,3.25,N/A,Dominican Republic
K'ul,"Kafupbo, Petit Bourg, De Borgnes",1840,2016,70%,U.S.A.,3.25,N/A,Haiti
K'ul,"Los Rios, Hacienda Limon, Heirloom",1852,2016,70%,U.S.A.,3.75,N/A,Ecuador
Kyya,Hispaniola,1359,2014,72.50%,U.S.A.,3,N/A,Dominican Republic
Kyya,Ecuador,1363,2014,72.50%,U.S.A.,2.5,N/A,Ecuador
L.A. Burdick (Felchlin),Peru,891,2012,74%,U.S.A.,3.25,N/A,Peru
L.A. Burdick (Felchlin),Brazil,891,2012,70%,U.S.A.,4,N/A,Brazil
L.A. Burdick (Felchlin),Quito,682,2011,74%,U.S.A.,3.75,N/A,Ecuador
L.A. Burdick (Felchlin),Dominican Republic,576,2010,74%,U.S.A.,3.75,N/A,Dominican Republic
L.A. Burdick (Felchlin),Venzuela,597,2010,71%,U.S.A.,3,N/A,Venezuela
L.A. Burdick (Felchlin),Bolivian,451,2009,68%,U.S.A.,3,N/A,Bolivia
La Maison du Chocolat (Valrhona),"Cuana, 2013",1121,2013,74%,France,2.75,N/A,"Africa, Carribean, C. Am."
La Maison du Chocolat (Valrhona),Tobago,1145,2013,60%,France,3.25,N/A,Tobago
La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",1189,2013,56%,France,3.25,N/A,Ecuador
La Maison du Chocolat (Valrhona),Loma Sotavento,891,2012,66%,France,3.5,N/A,Dominican Republic
La Maison du Chocolat (Valrhona),Kuruba,439,2009,60%,France,3,N/A, 
La Maison du Chocolat (Valrhona),Orinoco,445,2009,60%,France,3.75,N/A, 
La Oroquidea,Peruvian Amazon,721,2011,72%,Peru,2.5,N/A,Peru
La Pepa de Oro,Vinces,713,2011,60%,Ecuador,3.25,N/A,Ecuador
Laia aka Chat-Noir,"Cuba, Batch 59/100",1590,2015,75%,France,3,N/A,Cuba
Laia aka Chat-Noir,"Peru, Batch 51/100",1590,2015,75%,France,3.25,N/A,Peru
Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,75%,France,3,N/A,Ivory Coast
Laia aka Chat-Noir,"Bahia, Batch 148",1642,2015,75%,France,3.25,N/A,Brazil
Laia aka Chat-Noir,Cuba,1434,2014,70%,France,2.75,N/A,Cuba
Laia aka Chat-Noir,Trinidad-Tobago,1438,2014,68%,France,2.75,N/A,Trinidad-Tobago
Lake Champlain (Callebaut),Tanzania,327,2009,75%,U.S.A.,2.5,N/A,Tanzania
Letterpress,"La Masica, Batch 7, FHIA",1952,2017,70%,U.S.A.,3.5,N/A,Honduras
Letterpress,"Maya Mtn, Batch 18, Heirloom",1952,2017,70%,U.S.A.,3.25,N/A,Belize
Letterpress,Liberia,1728,2016,70%,U.S.A.,3.25,N/A,Liberia
Letterpress,Beniamo,1562,2015,70%,U.S.A.,3.25,N/A,Bolivia
Letterpress,San Andres,1566,2015,70%,U.S.A.,3,N/A,Costa Rica
Letterpress,"La Red, Guaconejo",1566,2015,70%,U.S.A.,3.25,N/A,Domincan Republic
Letterpress,Kokoa Kamili,1566,2015,70%,U.S.A.,3.5,N/A,Tanzania
Lillie Belle,La Selva,903,2012,68%,U.S.A.,3.75,N/A,Peru
Lillie Belle,Purple Haze,947,2012,75%,U.S.A.,2.75,N/A,"Venezuela, Dom. Rep."
Lillie Belle,"The Other One, Grand Cru",947,2012,74%,U.S.A.,3,N/A,Dominican Republic
Lindt & Sprungli,Excellence (US Version),157,2007,85%,Switzerland,3,N/A, 
Loiza,Puerto Rico,1049,2013,65%,Puerto Rico,2.5,N/A,Puerto Rico
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,70%,U.S.A.,3.75,N/A,Hawaii
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,65%,U.S.A.,3.25,N/A,Hawaii
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,75%,U.S.A.,3.75,N/A,Hawaii
Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",1093,2013,71%,U.S.A.,3,N/A,Hawaii
Lonohana,"Opaeula Estate, O'ahu, Ele'ele",1097,2013,72%,U.S.A.,3,N/A,Hawaii
Lonohana,"Hawaiian Crown, Kona Vanilla",1097,2013,70%,U.S.A.,3.5,N/A,Hawaii
Love Bar,Nicaragua,1502,2015,75%,U.S.A.,2,N/A,Nicaragua
Luker,Selva,552,2010,46%,Colombia,2.75,N/A,"Colombia, Ecuador"
Luker,Macondo,552,2010,60%,Colombia,3,N/A,"Colombia, Ecuador"
Luker,Misterio,552,2010,58%,Colombia,3,N/A,"Colombia, Ecuador"
Luker,Santander,552,2010,65%,Colombia,3.5,N/A,Colombia
Machu Picchu Trading Co.,Peru,721,2011,70%,Peru,1.5,N/A,Peru
Machu Picchu Trading Co.,Peru,552,2010,55%,Peru,2.25,N/A,Peru
Madre,Guadalcanal,1940,2017,73%,U.S.A.,3.5,N/A,Solomon Islands
Madre,Puerto Rico,1085,2013,70%,U.S.A.,2.75,N/A,Puerto Rico
Madre,Brazil,1085,2013,70%,U.S.A.,3.5,N/A,Brazil
Madre,"Choobua, Kona",1089,2013,70%,U.S.A.,2.75,N/A,Hawaii
Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,70%,U.S.A.,2.75,N/A,Mexico
Madre,"Hamakua Coast, Kokoleka",991,2012,70%,U.S.A.,3.25,N/A,Hawaii
Madre,Kaua'i,995,2012,70%,U.S.A.,3.5,N/A,Hawaii
Madre,Dominican,672,2011,70%,U.S.A.,2.5,N/A,Dominican Republic
Madre,Upala,693,2011,70%,U.S.A.,2.75,N/A,Costa Rica
Madre,"Chiapas, Triple Cacao",607,2010,72%,U.S.A.,2.75,N/A,Mexico
Maglio,Africa,300,2008,75%,Italy,2,N/A,Tanzania
Majani,Ecuador,531,2010,70%,Italy,2,N/A,Ecuador
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,55%,U.S.A.,3.5,N/A,Hawaii
Malmo,Chuao,1856,2016,70%,Sweden,3,N/A,Venezuela
Mana,Ecuador,1446,2015,74%,U.S.A.,2.5,N/A,Ecuador
Mana,Peru,1219,2014,74%,U.S.A.,2.5,N/A,Peru
Mana,Venezuela,1219,2014,74%,U.S.A.,2.75,N/A,Venezuela
Mana,Conacado,821,2012,74%,U.S.A.,3.75,N/A,Dominican Republic
Manifesto Cacao,Colombia,1331,2014,70%,Colombia,2.75,N/A,Colombia
Manoa,Markham Valley,1522,2015,72%,U.S.A.,3.5,N/A,Papua New Guinea
Manoa,Coto Brus,1522,2015,72%,U.S.A.,3.75,N/A,Costa Rica
Manoa,"Waiahole, O'ahu",1089,2013,72%,U.S.A.,3.75,N/A,Hawaii
Manoa,"Liberia, #174",1003,2012,72%,U.S.A.,3.25,N/A,Liberia
Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,72%,U.S.A.,2.75,N/A,Hawaii
Manoa,Piura,1007,2012,72%,U.S.A.,3,N/A,Peru
Manoa,"Oahu, Winward, #151, Maunawili district",1007,2012,72%,U.S.A.,3.25,N/A,Hawaii
Manufaktura Czekolady,Johe,1844,2016,70%,Poland,3.75,N/A,Nicaragua
Manufaktura Czekolady,Peru,1848,2016,70%,Poland,3.5,N/A,Peru
Manufaktura Czekolady,Kolumbia,1279,2014,85%,Poland,3.5,N/A,Colombia
Manufaktura Czekolady,Grand Cru Dominican Republic,871,2012,70%,Poland,3.25,N/A,Dominican Republic
Manufaktura Czekolady,Grand Cru Ecuador,875,2012,70%,Poland,3.25,N/A,Ecuador
Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,70%,U.S.A.,3.5,N/A,Nicaragua
Map Chocolate,Colombia,1610,2015,75%,U.S.A.,2.75,N/A,Colombia
Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",1610,2015,72%,U.S.A.,3,N/A,Tanzania
Map Chocolate,Le Chocolat Chaud,1634,2015,78%,U.S.A.,3.5,N/A,Honduras
Marana,Piura,1872,2016,70%,Peru,3,N/A,Peru
Marana,Cusco,1884,2016,70%,Peru,2.75,N/A,Peru
Marana,San Martin,1884,2016,70%,Peru,3,N/A,Peru
Marigold's Finest,Cacao Nib Crunch,1808,2016,75%,Canada,3.25,N/A, 
Mars,"Matina 1-6, prototype",537,2010,65%,U.S.A.,3,N/A,Costa Rica
Mars,Ivory Coast,544,2010,65%,U.S.A.,3,N/A,Ivory Coast
Mars,Nigeria,544,2010,65%,U.S.A.,3.25,N/A,Nigeria
Marsatta,Dominican Republic,1189,2013,74%,U.S.A.,2.25,N/A,Dominican Republic
Marsatta,Dominican Republic,1189,2013,89%,U.S.A.,2.5,N/A,Dominican Republic
Martin Mayer,Alto Beni,1836,2016,76%,Austria,2.75,N/A,Bolivia
Martin Mayer,Pisa,1836,2016,82%,Austria,3,N/A,Haiti
Martin Mayer,Tumaco,1836,2016,74%,Austria,3.25,N/A,Colombia
Mast Brothers,Guatemala,1450,2015,76%,U.S.A.,3,N/A,Guatemala
Mast Brothers,Tanzania,1450,2015,74%,U.S.A.,3.25,N/A,Tanzania
Mast Brothers,Brooklyn Blend,672,2011,72%,U.S.A.,3.5,N/A, 
Mast Brothers,Papua New Guinea,777,2011,71%,U.S.A.,2.75,N/A,Papua New Guinea
Mast Brothers,San Martin,777,2011,75%,U.S.A.,3,N/A,Peru
Mast Brothers,Conacado,777,2011,73%,U.S.A.,3.25,N/A,Dominican Republic
Mast Brothers,"La Red de Guanconejo, N. Highlands coop",777,2011,74%,U.S.A.,3.75,N/A,Dominican Republic
Mast Brothers,Ocumare de la Costa,572,2010,75%,U.S.A.,3,N/A,Venezuela
Mast Brothers,"Dominican Republic, Coop",572,2010,70%,U.S.A.,3.25,N/A,Dominican Republic
Maverick,Elvesia,1367,2014,70%,U.S.A.,3.25,N/A,Dominican Republic
Mayacama,Hispaniola,1728,2016,72%,U.S.A.,3,N/A,Domincan Republic
Meadowlands,Bolivia,1287,2014,70%,U.S.A.,2.5,N/A,Bolivia
Meadowlands,Venezuela,1287,2014,70%,U.S.A.,2.75,N/A,Venezuela
Meadowlands,"Nicaragua, w/ inbs",1291,2014,70%,U.S.A.,3,N/A,Nicaragua
Meadowlands,Dominican Republic,1291,2014,70%,U.S.A.,3.5,N/A,Dominican Republic
Mesocacao,El Salvador,1494,2015,80%,Honduras,2.75,N/A,El Salvador
Mesocacao,El Salvador,1494,2015,70%,Honduras,3,N/A,El Salvador
Mesocacao,Honduras,1347,2014,80%,Honduras,3.25,N/A,Honduras
Mesocacao,Honduras,1347,2014,70%,Honduras,3.5,N/A,Honduras
Mesocacao,"La Tronca, Matagalpa",1351,2014,70%,Honduras,3.25,N/A,Nicaragua
Mesocacao,"La Tronca, Matagalpa",1351,2014,80%,Honduras,3.5,N/A,Nicaragua
Metiisto,"Fazenda Sempre Firme P., Bahia",1267,2014,70%,Sweden,3,N/A,Brazil
Michel Cluizel,"Chiapas, Mokaya P.",963,2012,66%,France,3.75,N/A,Mexico
Michel Cluizel,Carre Amer,24,2006,60%,France,2,N/A, 
Michel Cluizel,Carre Grand Noir,24,2006,85%,France,2,N/A, 
Michel Cluizel,Los Ancones P.,24,2006,67%,France,4,N/A,Dominican Republic
Michel Cluizel,Maralumi P.,24,2006,64%,France,4,N/A,Papua New Guinea
Michel Cluizel,Noir Infini,81,2006,99%,France,2,N/A, 
Middlebury,Oko Caribe,1490,2015,75%,U.S.A.,3.75,N/A,Dominican Republic
Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,75%,U.S.A.,3.75,N/A,Venezuela
Middlebury,Kokoa Kamili,1538,2015,75%,U.S.A.,3.25,N/A,Tanzania
Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,70%,U.S.A.,3.5,N/A,Nicaragua
Middlebury,La Red,1117,2013,75%,U.S.A.,2.5,N/A,Dominican Republic
Middlebury,Houseblend,887,2012,65%,U.S.A.,1.5,N/A, 
Millcreek Cacao Roasters,Ecuador,825,2012,70%,U.S.A.,3.5,N/A,Ecuador
Mindo,Ecuador,607,2010,67%,U.S.A.,2.75,N/A,Ecuador
Mindo,Ecuador,607,2010,77%,U.S.A.,2.75,N/A,Ecuador
Mission,"Fazenda Camboa, Bahia",1880,2016,75%,Brazil,3.75,N/A,Brazil
Mita,Tumaco,955,2012,65%,Colombia,2.5,N/A,Colombia
Molucca,La Red,1614,2015,70%,U.S.A.,3,N/A,Domincan Republic
Molucca,Indonesia,1618,2015,70%,U.S.A.,2.75,N/A,Indonesia
Molucca,Peru,1618,2015,70%,U.S.A.,3.25,N/A,Peru
Momotombo,Matagalpa,661,2011,70%,Nicaragua,2.75,N/A,Nicaragua
Momotombo,Mombacho,661,2011,70%,Nicaragua,2.75,N/A,Nicaragua
Momotombo,Oscuro,772,2011,70%,Nicaragua,3.25,N/A,Nicaragua
Monarque,Oko Caribe,1812,2016,72%,Canada,3.5,N/A,Dominican Republic
Monsieur Truffe,Papaua New Guinea,1391,2014,70%,Australia,3.25,N/A,Papua New Guinea
Montecristi,Manabi,1654,2015,70%,Ecuador,3.25,N/A,Ecuador
Montecristi,Manabi,1654,2015,63%,Ecuador,3.5,N/A,Ecuador
Montecristi,Manabi,1658,2015,85%,Ecuador,3.5,N/A,Ecuador
Muchomas (Mesocacao),Nicaragua,1462,2015,70%,U.S.A.,3.5,N/A,Nicaragua
Muchomas (Mesocacao),Nicaragua,1462,2015,80%,U.S.A.,3.5,N/A,Nicaragua
Mutari,"Kokoa Kamili, batch 1 SRB",1896,2016,68%,U.S.A.,2.75,N/A,Tanzania
Mutari,"Oko Caribe, batch 1 SRB",1896,2016,71%,U.S.A.,2.75,N/A,Domincan Republic
Mutari,"Ambanja, batch 1 SRB",1900,2016,68%,U.S.A.,2.75,N/A,Madagascar
Nahua,"Costa Rica, Oscuro",1049,2013,58%,Costa Rica,2.5,N/A,Costa Rica
Nahua,"Costa Rica, Oscuro",1049,2013,70%,Costa Rica,3,N/A,Costa Rica
Naive,Trinidad & Tobago,1046,2013,70%,Lithuania,3.75,N/A,"Trinidad, Tobago"
Na�ve,Barinas,1399,2014,70%,Lithuania,3,N/A,Venezuela
Nanea,Criollo Blend,1007,2013,85%,U.S.A.,3.5,N/A,Hawaii
Nathan Miller,Peru,1403,2014,72%,U.S.A.,2.25,N/A,Peru
Nathan Miller,Hispaniola,1403,2014,70%,U.S.A.,2.5,N/A,Dominican Republic
Neuhaus (Callebaut),Dark,135,2007,73%,Belgium,1,N/A, 
Night Owl,Peru,1022,2013,75%,U.S.A.,2.75,N/A,Peru
Night Owl,Ecuador,1022,2013,75%,U.S.A.,3.5,N/A,Ecuador
Noir d' Ebine,Venezuela,837,2012,70%,U.S.A.,3,N/A,Venezuela
Noir d' Ebine,Ecuador,841,2012,70%,U.S.A.,3,N/A,Ecuador
Nova Monda,"La Patriota, cacao Indio, purple label",931,2012,70%,Nicaragua,3,N/A,Nicaragua
Nova Monda,"La Dalia, Matagalpa,cacao Bisesto,green label",935,2012,75%,Niacragua,2.75,N/A,Nicaragua
Nuance,La Red,1470,2015,70%,U.S.A.,3.75,N/A,Dominican Republic
Ocho,Sang Yum Coop,1760,2016,100%,New Zealand,2.75,N/A,Samoa
Ocho,Sang Yum Coop,1760,2016,70%,New Zealand,3.5,N/A,Samoa
Ocho,"PNG, Devotion",1411,2014,66%,New Zealand,2.75,N/A,Papua New Guinea
Ocho,"PNG, Revolution",1411,2014,70%,New Zealand,3,N/A,Papua New Guinea
Ocho,"PNG, Voodoo",1411,2014,88%,New Zealand,3.25,N/A,Papua New Guinea
Ocho,"PNG, Nib Bar",1411,2014,74%,New Zealand,3.5,N/A,Papua New Guinea
Ohiyo,Tanzania,1598,2015,70%,U.S.A.,3,N/A,Tanzania
Olive and Sinclair,Dominican Republic prototype,486,2010,72%,U.S.A.,3,N/A,Dominican Republic
Olive and Sinclair,Dark 67,457,2009,67%,U.S.A.,2.75,N/A,"Ghana, Domin. Rep"
Olive and Sinclair,Dark 75,457,2009,75%,U.S.A.,3,N/A,"Ghana, Domin. Rep"
Olivia,Carribean-Raw,688,2011,76%,Canada,2,N/A,Carribean
