,Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Broad Bean Origin
335,Fresco,"Markham Valley, #221, DR, MC",899,2012,69,U.S.A.,3.5,Papua New Guinea
336,Fresco,"Conacado, #212, LR, SC",642,2011,72,U.S.A.,3.5,Dominican Republic
337,Fresco,"Conacado, #213, DR, -C",682,2011,72,U.S.A.,3.25,Dominican Republic
338,Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70,Denmark,3.5,Nicaragua
339,Friis Holm (Bonnat),La Dalia,1680,2015,60,Denmark,3,Nicaragua
340,Friis Holm (Bonnat),La Dalia,1680,2015,85,Denmark,3.25,Nicaragua
341,Friis Holm (Bonnat),La Dalia,1259,2014,70,Denmark,3.5,Nicaragua
342,Friis Holm (Bonnat),"Barba, Xoco",1034,2013,70,Denmark,3.25,Nicaragua
343,Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70,Denmark,3.5,Nicaragua
344,Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,70,Denmark,3.75,Nicaragua
345,Fruition,La Red,1046,2013,70,U.S.A.,3.75,Dominican Republic
346,Fruition,Camino Verde,1185,2013,75,U.S.A.,3,Ecuador
347,Fruition,Peru,863,2012,70,U.S.A.,2.5,Peru
348,Fruition,Costa Rica,781,2011,70,U.S.A.,3,Costa Rica
349,Glennmade,"Toledo District, 2015 Harvest",1848,2016,70,U.S.A.,3.5,Belize
350,Goodnow Farms,"Almendra Blanca, batch 1004",1924,2016,77,U.S.A.,2.75,Mexico
351,Goodnow Farms,"El Carmen, batch 1003",1924,2016,77,U.S.A.,3.25,Nicaragua
352,Goodnow Farms,"Asochivite, batch 1005",1924,2016,77,U.S.A.,3.25,Guatemala
353,Green & Black's (ICAM),Dark,15,2006,70,U.K.,2.5, 
354,Green Bean to Bar,Madagascar,1896,2016,70,Japan,3.5,Madagascar
355,Guido Castagna,Trinidad & Tobago,355,2009,64,Italy,3,"Trinidad, Tobago"
356,Guido Castagna,Lacri Blend,355,2009,76,Italy,3,Venezuela
357,Guido Castagna,Blend,355,2009,64,Italy,3.25,"Ven, Trinidad, Ecuador"
358,Guittard,"Epique, Blend No. 49",1602,2015,70,U.S.A.,3.75, 
359,Guittard,Haiti,1053,2013,65,U.S.A.,2.75,Haiti
360,Guittard,Nicaragua,1053,2013,65,U.S.A.,2.75,Nicaragua
361,Guittard,Ecuador,1053,2013,65,U.S.A.,3.5,Ecuador
362,Guittard,Coucher du Soleil,654,2011,72,U.S.A.,2.75, 
363,Guittard,Lever du Soleil,654,2011,61,U.S.A.,3.25, 
364,Guittard,Onyx,654,2011,72,U.S.A.,3.25, 
365,Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",316,2009,55,U.S.A.,3,Hawaii
366,Guittard,Nocturne,387,2009,91,U.S.A.,3, 
367,Guittard,Machu Pichu,259,2008,65,U.S.A.,3,Peru
368,Guittard,Special Maker Reserve,276,2008,64,U.S.A.,3, 
369,Guittard,Ocumare,276,2008,65,U.S.A.,3.5,Venezuela
370,Habitual,Papua New Guinea,1197,2014,80,Canada,2.75,Papua New Guinea
371,Habitual,Campesino w/ nibs,1197,2014,74,Canada,2.75, 
372,Habitual,Dominican Republic,1197,2014,75,Canada,3.25,Dominican Republic
373,Habitual,Downtown London,1201,2014,65,Canada,2.75, 
374,Habitual,Africa meets Latina,1201,2014,70,Canada,3, 
375,Habitual,Amazonas,1201,2014,80,Canada,3, 
376,Habitual,Sharkey,1201,2014,66,Canada,3.25,Hawaii
377,Habitual,one hundred,1205,2014,100,Canada,2, 
378,Haigh,South America and Africa,701,2011,70,Australia,3,"South America, Africa"
379,Harper Macaw,"Vale do Juliana, w/ nibs",1808,2016,85,U.S.A.,3.25,Brazil
380,Harper Macaw,Brazil Blend,1696,2015,67,U.S.A.,3,Brazil
381,Harper Macaw,"Tome Acu E., Amazon Rainforest",1700,2015,77,U.S.A.,3.5,Brazil
382,Harper Macaw,"Vale do Juliana E., Atlantic Forest",1700,2015,74,U.S.A.,3.5,Brazil
383,Heilemann,Peru,1876,2016,64,Germany,2.75,Peru
384,Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",1243,2014,67,U.S.A.,3.75,Hawaii
385,Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",1744,2016,72,U.S.A.,3.5,Hawaii
386,hexx,Tanzania,1546,2015,70,U.S.A.,2.75,Tanzania
387,hexx,Venezuela,1546,2015,70,U.S.A.,3,Venezuela
388,hexx,Ecuador,1550,2015,73,U.S.A.,3.25,Ecuador
389,hexx,Peru,1550,2015,70,U.S.A.,3.25,Peru
390,Holy Cacao,Maranon,1872,2016,70,Israel,2.75,Peru
391,Holy Cacao,"Camino Verde P., Balao, Guayas",1466,2015,70,Israel,3.5,Ecuador
392,Holy Cacao,Mara,1466,2015,70,Israel,3.5,Venezuela
393,Holy Cacao,Ivory Coast,431,2009,70,Israel,2.5,Ivory Coast
394,Holy Cacao,Hispaniola,431,2009,70,Israel,2.75,Dominican Republic
395,Holy Cacao,San Martin,431,2009,70,Israel,3.5,Peru
396,Holy Cacao,Hispaniola w/ nibs,431,2009,75,Israel,3.75,Dominican Republic
397,Honest,"Ecuador, w/ nibs",1327,2014,72,South Africa,2.5,Ecuador
398,Hotel Chocolat,"Pepiniere, single Cote",1654,2015,70,U.K.,2.75,St. Lucia
399,Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",1109,2013,100,U.K.,2.75,Peru
400,Hotel Chocolat (Coppeneur),"Conacado, 2012, 120hr c.",1113,2013,100,U.K.,2.75,Dominican Republic
401,Hotel Chocolat (Coppeneur),Ecuador,552,2010,70,U.K.,2.75,Ecuador
402,Hotel Chocolat (Coppeneur),Santo Domingo,552,2010,70,U.K.,3,Dominican Republic
403,Hotel Chocolat (Coppeneur),St. Lucia,245,2008,72,U.K.,3,St. Lucia
404,Hotel Chocolat (Coppeneur),Tanzania,296,2008,75,U.K.,2.75,Tanzania
405,Hummingbird,Zorzal Reserva w/ Charles Kerchner,1387,2014,70,Canada,3.5,Dominican Republic
406,Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",725,2011,72,Switzerland,3.75,Venezuela
407,Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",737,2011,72,Switzerland,4,Venezuela
408,Indah,India (south),1788,2016,61,India,2.5,India
409,Indaphoria,La Red,821,2012,70,U.S.A.,3.25,Dominican Republic
410,Indaphoria,"Conacado, Manifesto",907,2012,70,U.S.A.,2.75,Dominican Republic
411,Indi,Honduras,1255,2014,77,U.S.A.,3,Honduras
412,iQ Chocolate,black label,943,2012,72,Scotland,3,Peru
413,Isidro,Peru,1279,2014,72,U.S.A.,2.25,Peru
414,Isidro,Dominican Republic,1279,2014,72,U.S.A.,3.25,Dominican Republic
415,Izard,"Elvesia P., Batch 32",1546,2015,70,U.S.A.,2.75,Dominican Republic
416,Just Good Chocolate,Peru,1375,2014,70,U.S.A.,4,Peru
417,Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",1061,2013,70,Domincan Republic,3.5,Dominican Republic
418,Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,82,Domincan Republic,3,Dominican Republic
419,Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,55,Domincan Republic,3.25,Dominican Republic
420,Kah Kow,"Rizek Cacao, Domin. Rep.",1073,2013,62,Domincan Republic,3.25,Dominican Republic
421,Kakao,Peru,837,2012,64,Germany,2.5,Peru
422,Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,241,2008,70,Ecuador,3,Ecuador
423,Kallari (Ecuatoriana),Sisa's Secret/ original micro,241,2008,70,Ecuador,3.5,Ecuador
424,Kallari (Ecuatoriana),Roberto,245,2008,75,Ecuador,2.75,Ecuador
425,Kallari (Ecuatoriana),Diego/ original micro,248,2008,85,Ecuador,2.5,Ecuador
426,Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype,248,2008,85,Ecuador,2.75,Ecuador
427,Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype,248,2008,85,Ecuador,3,Ecuador
428,Kallari (Ecuatoriana),Cacao Nacional W.F.,263,2008,75,Ecuador,2.5,Ecuador
429,Kallari (Ecuatoriana),Cacao Nacional W.F.,269,2008,85,Ecuador,3,Ecuador
430,Kaoka (Cemoi),Noir,404,2009,70,France,2.75, 
431,Kaoka (Cemoi),Ecuador,423,2009,80,France,2.75,Ecuador
432,Kerchner,"La Red, Project Reserva, Guaconejo",1133,2013,70,U.S.A.,3.75,Dominican Republic
433,Ki' Xocolatl,Dark,431,2009,72,Mexico,2,Mexico
434,Kto,San Martin,1422,2014,72,U.S.A.,2.5,Peru
435,Kto,Ocumare,1422,2014,72,U.S.A.,2.75,Venezuela
436,Kto,Elvesia,1426,2014,72,U.S.A.,3.25,Dominican Republic
437,Kto,ROIG,1426,2014,72,U.S.A.,3.25,Dominican Republic
438,K'ul,"Kafupbo, Petit Bourg, De Borgnes",1840,2016,70,U.S.A.,3.25,Haiti
439,K'ul,"Los Rios, Hacienda Limon, Heirloom",1852,2016,70,U.S.A.,3.75,Ecuador
440,Kyya,Hispaniola,1359,2014,72.5,U.S.A.,3,Dominican Republic
441,Kyya,Ecuador,1363,2014,72.5,U.S.A.,2.5,Ecuador
442,L.A. Burdick (Felchlin),Peru,891,2012,74,U.S.A.,3.25,Peru
443,L.A. Burdick (Felchlin),Brazil,891,2012,70,U.S.A.,4,Brazil
444,L.A. Burdick (Felchlin),Quito,682,2011,74,U.S.A.,3.75,Ecuador
445,L.A. Burdick (Felchlin),Dominican Republic,576,2010,74,U.S.A.,3.75,Dominican Republic
446,L.A. Burdick (Felchlin),Venzuela,597,2010,71,U.S.A.,3,Venezuela
447,L.A. Burdick (Felchlin),Bolivian,451,2009,68,U.S.A.,3,Bolivia
448,La Maison du Chocolat (Valrhona),"Cuana, 2013",1121,2013,74,France,2.75,"Africa, Carribean, C. Am."
449,La Maison du Chocolat (Valrhona),Tobago,1145,2013,60,France,3.25,Tobago
450,La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",1189,2013,56,France,3.25,Ecuador
451,La Maison du Chocolat (Valrhona),Loma Sotavento,891,2012,66,France,3.5,Dominican Republic
452,La Maison du Chocolat (Valrhona),Kuruba,439,2009,60,France,3, 
453,La Maison du Chocolat (Valrhona),Orinoco,445,2009,60,France,3.75, 
454,La Oroquidea,Peruvian Amazon,721,2011,72,Peru,2.5,Peru
455,La Pepa de Oro,Vinces,713,2011,60,Ecuador,3.25,Ecuador
456,Laia aka Chat-Noir,"Cuba, Batch 59/100",1590,2015,75,France,3,Cuba
457,Laia aka Chat-Noir,"Peru, Batch 51/100",1590,2015,75,France,3.25,Peru
458,Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,75,France,3,Ivory Coast
459,Laia aka Chat-Noir,"Bahia, Batch 148",1642,2015,75,France,3.25,Brazil
460,Laia aka Chat-Noir,Cuba,1434,2014,70,France,2.75,Cuba
461,Laia aka Chat-Noir,Trinidad-Tobago,1438,2014,68,France,2.75,Trinidad-Tobago
462,Lake Champlain (Callebaut),Tanzania,327,2009,75,U.S.A.,2.5,Tanzania
463,Letterpress,"La Masica, Batch 7, FHIA",1952,2017,70,U.S.A.,3.5,Honduras
464,Letterpress,"Maya Mtn, Batch 18, Heirloom",1952,2017,70,U.S.A.,3.25,Belize
465,Letterpress,Liberia,1728,2016,70,U.S.A.,3.25,Liberia
466,Letterpress,Beniamo,1562,2015,70,U.S.A.,3.25,Bolivia
467,Letterpress,San Andres,1566,2015,70,U.S.A.,3,Costa Rica
468,Letterpress,"La Red, Guaconejo",1566,2015,70,U.S.A.,3.25,Domincan Republic
469,Letterpress,Kokoa Kamili,1566,2015,70,U.S.A.,3.5,Tanzania
470,Lillie Belle,La Selva,903,2012,68,U.S.A.,3.75,Peru
471,Lillie Belle,Purple Haze,947,2012,75,U.S.A.,2.75,"Venezuela, Dom. Rep."
472,Lillie Belle,"The Other One, Grand Cru",947,2012,74,U.S.A.,3,Dominican Republic
473,Lindt & Sprungli,Excellence (US Version),157,2007,85,Switzerland,3, 
474,Loiza,Puerto Rico,1049,2013,65,Puerto Rico,2.5,Puerto Rico
475,Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,70,U.S.A.,3.75,Hawaii
476,Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,65,U.S.A.,3.25,Hawaii
477,Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,75,U.S.A.,3.75,Hawaii
478,Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",1093,2013,71,U.S.A.,3,Hawaii
479,Lonohana,"Opaeula Estate, O'ahu, Ele'ele",1097,2013,72,U.S.A.,3,Hawaii
480,Lonohana,"Hawaiian Crown, Kona Vanilla",1097,2013,70,U.S.A.,3.5,Hawaii
481,Love Bar,Nicaragua,1502,2015,75,U.S.A.,2,Nicaragua
482,Luker,Selva,552,2010,46,Colombia,2.75,"Colombia, Ecuador"
483,Luker,Macondo,552,2010,60,Colombia,3,"Colombia, Ecuador"
484,Luker,Misterio,552,2010,58,Colombia,3,"Colombia, Ecuador"
485,Luker,Santander,552,2010,65,Colombia,3.5,Colombia
486,Machu Picchu Trading Co.,Peru,721,2011,70,Peru,1.5,Peru
487,Machu Picchu Trading Co.,Peru,552,2010,55,Peru,2.25,Peru
488,Madre,Guadalcanal,1940,2017,73,U.S.A.,3.5,Solomon Islands
489,Madre,Puerto Rico,1085,2013,70,U.S.A.,2.75,Puerto Rico
490,Madre,Brazil,1085,2013,70,U.S.A.,3.5,Brazil
491,Madre,"Choobua, Kona",1089,2013,70,U.S.A.,2.75,Hawaii
492,Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,70,U.S.A.,2.75,Mexico
493,Madre,"Hamakua Coast, Kokoleka",991,2012,70,U.S.A.,3.25,Hawaii
494,Madre,Kaua'i,995,2012,70,U.S.A.,3.5,Hawaii
495,Madre,Dominican,672,2011,70,U.S.A.,2.5,Dominican Republic
496,Madre,Upala,693,2011,70,U.S.A.,2.75,Costa Rica
497,Madre,"Chiapas, Triple Cacao",607,2010,72,U.S.A.,2.75,Mexico
498,Maglio,Africa,300,2008,75,Italy,2,Tanzania
499,Majani,Ecuador,531,2010,70,Italy,2,Ecuador
500,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,55,U.S.A.,3.5,Hawaii
501,Malmo,Chuao,1856,2016,70,Sweden,3,Venezuela
502,Mana,Ecuador,1446,2015,74,U.S.A.,2.5,Ecuador
503,Mana,Peru,1219,2014,74,U.S.A.,2.5,Peru
504,Mana,Venezuela,1219,2014,74,U.S.A.,2.75,Venezuela
505,Mana,Conacado,821,2012,74,U.S.A.,3.75,Dominican Republic
506,Manifesto Cacao,Colombia,1331,2014,70,Colombia,2.75,Colombia
507,Manoa,Markham Valley,1522,2015,72,U.S.A.,3.5,Papua New Guinea
508,Manoa,Coto Brus,1522,2015,72,U.S.A.,3.75,Costa Rica
509,Manoa,"Waiahole, O'ahu",1089,2013,72,U.S.A.,3.75,Hawaii
510,Manoa,"Liberia, #174",1003,2012,72,U.S.A.,3.25,Liberia
511,Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,72,U.S.A.,2.75,Hawaii
512,Manoa,Piura,1007,2012,72,U.S.A.,3,Peru
513,Manoa,"Oahu, Winward, #151, Maunawili district",1007,2012,72,U.S.A.,3.25,Hawaii
514,Manufaktura Czekolady,Johe,1844,2016,70,Poland,3.75,Nicaragua
515,Manufaktura Czekolady,Peru,1848,2016,70,Poland,3.5,Peru
516,Manufaktura Czekolady,Kolumbia,1279,2014,85,Poland,3.5,Colombia
517,Manufaktura Czekolady,Grand Cru Dominican Republic,871,2012,70,Poland,3.25,Dominican Republic
518,Manufaktura Czekolady,Grand Cru Ecuador,875,2012,70,Poland,3.25,Ecuador
519,Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,70,U.S.A.,3.5,Nicaragua
520,Map Chocolate,Colombia,1610,2015,75,U.S.A.,2.75,Colombia
521,Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",1610,2015,72,U.S.A.,3,Tanzania
522,Map Chocolate,Le Chocolat Chaud,1634,2015,78,U.S.A.,3.5,Honduras
523,Marana,Piura,1872,2016,70,Peru,3,Peru
524,Marana,Cusco,1884,2016,70,Peru,2.75,Peru
525,Marana,San Martin,1884,2016,70,Peru,3,Peru
526,Marigold's Finest,Cacao Nib Crunch,1808,2016,75,Canada,3.25, 
527,Mars,"Matina 1-6, prototype",537,2010,65,U.S.A.,3,Costa Rica
528,Mars,Ivory Coast,544,2010,65,U.S.A.,3,Ivory Coast
529,Mars,Nigeria,544,2010,65,U.S.A.,3.25,Nigeria
530,Marsatta,Dominican Republic,1189,2013,74,U.S.A.,2.25,Dominican Republic
531,Marsatta,Dominican Republic,1189,2013,89,U.S.A.,2.5,Dominican Republic
532,Martin Mayer,Alto Beni,1836,2016,76,Austria,2.75,Bolivia
533,Martin Mayer,Pisa,1836,2016,82,Austria,3,Haiti
534,Martin Mayer,Tumaco,1836,2016,74,Austria,3.25,Colombia
535,Mast Brothers,Guatemala,1450,2015,76,U.S.A.,3,Guatemala
536,Mast Brothers,Tanzania,1450,2015,74,U.S.A.,3.25,Tanzania
537,Mast Brothers,Brooklyn Blend,672,2011,72,U.S.A.,3.5, 
538,Mast Brothers,Papua New Guinea,777,2011,71,U.S.A.,2.75,Papua New Guinea
539,Mast Brothers,San Martin,777,2011,75,U.S.A.,3,Peru
540,Mast Brothers,Conacado,777,2011,73,U.S.A.,3.25,Dominican Republic
541,Mast Brothers,"La Red de Guanconejo, N. Highlands coop",777,2011,74,U.S.A.,3.75,Dominican Republic
542,Mast Brothers,Ocumare de la Costa,572,2010,75,U.S.A.,3,Venezuela
543,Mast Brothers,"Dominican Republic, Coop",572,2010,70,U.S.A.,3.25,Dominican Republic
544,Maverick,Elvesia,1367,2014,70,U.S.A.,3.25,Dominican Republic
545,Mayacama,Hispaniola,1728,2016,72,U.S.A.,3,Domincan Republic
546,Meadowlands,Bolivia,1287,2014,70,U.S.A.,2.5,Bolivia
547,Meadowlands,Venezuela,1287,2014,70,U.S.A.,2.75,Venezuela
548,Meadowlands,"Nicaragua, w/ inbs",1291,2014,70,U.S.A.,3,Nicaragua
549,Meadowlands,Dominican Republic,1291,2014,70,U.S.A.,3.5,Dominican Republic
550,Mesocacao,El Salvador,1494,2015,80,Honduras,2.75,El Salvador
551,Mesocacao,El Salvador,1494,2015,70,Honduras,3,El Salvador
552,Mesocacao,Honduras,1347,2014,80,Honduras,3.25,Honduras
553,Mesocacao,Honduras,1347,2014,70,Honduras,3.5,Honduras
554,Mesocacao,"La Tronca, Matagalpa",1351,2014,70,Honduras,3.25,Nicaragua
555,Mesocacao,"La Tronca, Matagalpa",1351,2014,80,Honduras,3.5,Nicaragua
556,Metiisto,"Fazenda Sempre Firme P., Bahia",1267,2014,70,Sweden,3,Brazil
557,Michel Cluizel,"Chiapas, Mokaya P.",963,2012,66,France,3.75,Mexico
558,Michel Cluizel,Carre Amer,24,2006,60,France,2, 
559,Michel Cluizel,Carre Grand Noir,24,2006,85,France,2, 
560,Michel Cluizel,Los Ancones P.,24,2006,67,France,4,Dominican Republic
561,Michel Cluizel,Maralumi P.,24,2006,64,France,4,Papua New Guinea
562,Michel Cluizel,Noir Infini,81,2006,99,France,2, 
563,Middlebury,Oko Caribe,1490,2015,75,U.S.A.,3.75,Dominican Republic
564,Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,75,U.S.A.,3.75,Venezuela
565,Middlebury,Kokoa Kamili,1538,2015,75,U.S.A.,3.25,Tanzania
566,Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,70,U.S.A.,3.5,Nicaragua
567,Middlebury,La Red,1117,2013,75,U.S.A.,2.5,Dominican Republic
568,Middlebury,Houseblend,887,2012,65,U.S.A.,1.5, 
569,Millcreek Cacao Roasters,Ecuador,825,2012,70,U.S.A.,3.5,Ecuador
570,Mindo,Ecuador,607,2010,67,U.S.A.,2.75,Ecuador
571,Mindo,Ecuador,607,2010,77,U.S.A.,2.75,Ecuador
572,Mission,"Fazenda Camboa, Bahia",1880,2016,75,Brazil,3.75,Brazil
573,Mita,Tumaco,955,2012,65,Colombia,2.5,Colombia
574,Molucca,La Red,1614,2015,70,U.S.A.,3,Domincan Republic
575,Molucca,Indonesia,1618,2015,70,U.S.A.,2.75,Indonesia
576,Molucca,Peru,1618,2015,70,U.S.A.,3.25,Peru
577,Momotombo,Matagalpa,661,2011,70,Nicaragua,2.75,Nicaragua
578,Momotombo,Mombacho,661,2011,70,Nicaragua,2.75,Nicaragua
579,Momotombo,Oscuro,772,2011,70,Nicaragua,3.25,Nicaragua
580,Monarque,Oko Caribe,1812,2016,72,Canada,3.5,Dominican Republic
581,Monsieur Truffe,Papaua New Guinea,1391,2014,70,Australia,3.25,Papua New Guinea
582,Montecristi,Manabi,1654,2015,70,Ecuador,3.25,Ecuador
583,Montecristi,Manabi,1654,2015,63,Ecuador,3.5,Ecuador
584,Montecristi,Manabi,1658,2015,85,Ecuador,3.5,Ecuador
585,Muchomas (Mesocacao),Nicaragua,1462,2015,70,U.S.A.,3.5,Nicaragua
586,Muchomas (Mesocacao),Nicaragua,1462,2015,80,U.S.A.,3.5,Nicaragua
587,Mutari,"Kokoa Kamili, batch 1 SRB",1896,2016,68,U.S.A.,2.75,Tanzania
588,Mutari,"Oko Caribe, batch 1 SRB",1896,2016,71,U.S.A.,2.75,Domincan Republic
589,Mutari,"Ambanja, batch 1 SRB",1900,2016,68,U.S.A.,2.75,Madagascar
590,Nahua,"Costa Rica, Oscuro",1049,2013,58,Costa Rica,2.5,Costa Rica
591,Nahua,"Costa Rica, Oscuro",1049,2013,70,Costa Rica,3,Costa Rica
592,Naive,Trinidad & Tobago,1046,2013,70,Lithuania,3.75,"Trinidad, Tobago"
593,Na�ve,Barinas,1399,2014,70,Lithuania,3,Venezuela
594,Nanea,Criollo Blend,1007,2013,85,U.S.A.,3.5,Hawaii
595,Nathan Miller,Peru,1403,2014,72,U.S.A.,2.25,Peru
596,Nathan Miller,Hispaniola,1403,2014,70,U.S.A.,2.5,Dominican Republic
597,Neuhaus (Callebaut),Dark,135,2007,73,Belgium,1, 
598,Night Owl,Peru,1022,2013,75,U.S.A.,2.75,Peru
599,Night Owl,Ecuador,1022,2013,75,U.S.A.,3.5,Ecuador
600,Noir d' Ebine,Venezuela,837,2012,70,U.S.A.,3,Venezuela
601,Noir d' Ebine,Ecuador,841,2012,70,U.S.A.,3,Ecuador
602,Nova Monda,"La Patriota, cacao Indio, purple label",931,2012,70,Nicaragua,3,Nicaragua
603,Nova Monda,"La Dalia, Matagalpa,cacao Bisesto,green label",935,2012,75,Nicaragua,2.75,Nicaragua
604,Nuance,La Red,1470,2015,70,U.S.A.,3.75,Dominican Republic
605,Ocho,Sang Yum Coop,1760,2016,100,New Zealand,2.75,Samoa
606,Ocho,Sang Yum Coop,1760,2016,70,New Zealand,3.5,Samoa
607,Ocho,"PNG, Devotion",1411,2014,66,New Zealand,2.75,Papua New Guinea
608,Ocho,"PNG, Revolution",1411,2014,70,New Zealand,3,Papua New Guinea
609,Ocho,"PNG, Voodoo",1411,2014,88,New Zealand,3.25,Papua New Guinea
610,Ocho,"PNG, Nib Bar",1411,2014,74,New Zealand,3.5,Papua New Guinea
611,Ohiyo,Tanzania,1598,2015,70,U.S.A.,3,Tanzania
612,Olive and Sinclair,Dominican Republic prototype,486,2010,72,U.S.A.,3,Dominican Republic
613,Olive and Sinclair,Dark 67,457,2009,67,U.S.A.,2.75,"Ghana, Domin. Rep"
614,Olive and Sinclair,Dark 75,457,2009,75,U.S.A.,3,"Ghana, Domin. Rep"
615,Olivia,Carribean-Raw,688,2011,76,Canada,2,Carribean
616,Olivia,Carribean,688,2011,76,Canada,2.75,Carribean
617,Olivia,Carribean,688,2011,85,Canada,2.75,Carribean
618,Olivia,Carribean-Raw,688,2011,85,Canada,3,Carribean
619,Omnom,Papua New Guinea,1247,2014,70,Iceland,3,Papua New Guinea
620,organicfair,La Red,1165,2013,72,Canada,2.75,Dominican Republic
621,organicfair,Caribe,1165,2013,72,Canada,3,Dominican Republic
622,Original Beans (Felchlin),Papua Kerafat,1438,2014,68,Switzerland,2.75,Papua New Guinea
623,Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R. 24hr c.",733,2011,66,Switzerland,3.75,Bolivia
624,Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R., 60hr c.",341,2009,68,Switzerland,3.25,Bolivia
625,Original Hawaiin Chocolate Factory,"Hawai'i, Kona Estate Grown",24,2006,60,U.S.A.,3,Hawaii
626,Orquidea,Peru,859,2012,65,Peru,3,Peru
627,Orquidea,Peru,859,2012,72,Peru,3,Peru
628,Pacari,"Sierra Nevada, Tutu Iku",1848,2016,70,Ecuador,4,Colombia
629,Pacari,Garaua,1415,2014,70,Ecuador,3.25,Ecuador
630,Pacari,Cumbia,1415,2014,70,Ecuador,3.5,Ecuador
631,Pacari,Montubia,1415,2014,70,Ecuador,3.75,Ecuador
632,Pacari,Tangara,1415,2014,70,Ecuador,4,Ecuador
633,Pacari,"Ecuador, raw",817,2012,85,Ecuador,2.75,Ecuador
634,Pacari,Piura,863,2012,70,Ecuador,4,Peru
635,Pacari,Nube- prototype,721,2011,70,Ecuador,3.5,Ecuador
636,Palette de Bine,Lachua,1720,2016,70,Canada,2.75,Guatemala
637,Palette de Bine,"Silvestre, La Paz, Beni",1570,2015,70,Canada,3.25,Bolivia
638,Palette de Bine,Kokoa Kamili,1574,2015,72,Canada,3.5,Tanzania
639,Palette de Bine,"Alto Beni, Palos Blancos",1239,2014,72,Canada,2.75,Bolivia
640,Palette de Bine,"Camino Verde P., Balao, Guayas",1303,2014,75,Canada,2.75,Ecuador
641,Pangea,Matasawalevu,1860,2016,76,Spain,3,Fiji
642,Park 75,South America,1363,2014,65,U.S.A.,3.5,South America
643,Parliament,Kilombero Valley,1856,2016,70,U.S.A.,3.25,Tanzania
644,Parliament,"Lachua, Q'egchi families",1542,2015,70,U.S.A.,3.5,Guatemala
645,Parliament,Alto Beni,1251,2014,70,U.S.A.,3,Bolivia
646,Parliament,Oko Caribe,1255,2014,70,U.S.A.,3.5,Dominican Republic
647,Pascha,Peru,1137,2013,55,Peru,2.5,Peru
648,Pascha,Peru,1137,2013,70,Peru,2.75,Peru
649,Patric,"Piura, Choc. Garage Exclusive",1034,2013,67,U.S.A.,4,Peru
650,Peppalo,Dominican Republic,1454,2015,82,U.S.A.,3,Dominican Republic
651,Pinellas,Wampusirpi Region,1772,2016,80,U.S.A.,2.5,Honduras
652,Pitch Dark,Tenor,1506,2015,62,U.S.A.,2.5,Nicaragua
653,Pitch Dark,Johe,1506,2015,80,U.S.A.,2.75,Nicaragua
654,Pitch Dark,Rugoso,1510,2015,80,U.S.A.,3.25,Nicaragua
655,Pitch Dark,"Camino Verde P., Balao, Guayas, ""Fruity""",1319,2014,73,U.S.A.,3.25,Ecuador
656,Pitch Dark,"Camino Verde P., Balao, Guayas, ""Floral""",1319,2014,73,U.S.A.,3.5,Ecuador
657,Pomm (aka Dead Dog),"La Red, 2011",829,2012,76,U.S.A.,2.5,Dominican Republic
658,Potomac,"Oko Caribe, Duarte Province, 2016 H.",1820,2016,70,U.S.A.,3.75,Domincan Republic
659,Potomac,"Cuyagua, 2013",1387,2014,70,U.S.A.,3.75,Venezuela
